ID,Адрес,Ссылка,Цена,Количество комнат,Общая площадь,Жилая площадь,Год постройки,Срок сдачи,Широта,Долгота,Расстояние до центра (км),Цена за м²,Возраст дома,санузел_другое,санузел_не указано,санузел_раздельный,санузел_совмещенный,"санузел_совмещенный, раздельный",окна_во двор,окна_другое,окна_на улицу,окна_не указано,ремонт_дизайнерский,ремонт_другое,ремонт_евро,ремонт_косметический,ремонт_требует ремонта,Мебель_есть,Техника_есть,тип_дома_блочный,тип_дома_другое,тип_дома_кирпичный,тип_дома_монолитно-кирпичный,тип_дома_монолитный,тип_дома_панельный,Пассажирский лифт_есть,Грузовой лифт_есть,Двор_закрытый,Двор_дет_площадка,Двор_спорт_площадка,парковка_другое,парковка_за шлагбаумом во дворе,парковка_нет_парковки,парковка_открытая во дворе,парковка_подземная,вид_сделки_возможна ипотека,вид_сделки_другое,вид_сделки_продажа апартаментов в москве,вид_сделки_прямая продажа,способ_продажи_другое,способ_продажи_не указано,способ_продажи_свободная,Этаж_относительный,Первый_этаж,Последний_этаж
5228485963955466969,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955466969/,27999801.0,1,41.5,14.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,674694.0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955466972,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955466972/,48291291.0,3,88.2,46.3,2028.0,2028,55.726173,37.6368904,3.5086928104632458,547520.306122449,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955467647,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467647/,54547394.0,4,103.3,62.0,2028.0,2028,55.726173,37.6368904,3.5086928104632458,528048.3446272991,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955467648,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467648/,27605034.0,1,45.8,16.8,2028.0,2028,55.726173,37.6368904,3.5086928104632458,602730.0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955467650,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467650/,54753039.0,4,103.3,62.0,2028.0,2028,55.726173,37.6368904,3.5086928104632458,530039.0997095838,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
5228485963955467654,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467654/,35982887.0,2,67.6,29.1,2028.0,2028,55.726173,37.6368904,3.5086928104632458,532291.227810651,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955467678,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467678/,36510661.0,2,66.2,30.9,2028.0,2028,55.726173,37.6368904,3.5086928104632458,551520.5589123867,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.083333,0,0
5228485963955467679,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467679/,36117402.0,2,67.6,29.1,2028.0,2028,55.726173,37.6368904,3.5086928104632458,534281.0946745563,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
5228485963955467683,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467683/,28082457.0,1,41.5,14.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,676685.7108433734,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
5228485963955467685,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955467685/,33629016.0,1,58.1,18.8,2028.0,2028,55.726173,37.6368904,3.5086928104632458,578812.6678141135,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
